docketId,issueDomain,agency,commentVolume,genuineShare,templateShare,technicalClaimCredibility,authenticationShare
EPA-R09-OAR-2024-0228,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OLEM-2022-0174,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-R09-OAR-2022-0338,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OAR-2023-0282,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OAR-2023-0282,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OAR-2023-0282,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OGC-2024-0601,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OEJECR-2023-0531,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-ORD-2015-0765,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-ORD-2015-0765,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-ORD-2015-0765,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-ORD-2015-0765,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-ORD-2015-0765,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-ORD-2015-0765,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-ORD-2015-0765,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-ORD-2015-0765,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2020-0592,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2020-0592,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OW-2024-0158,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OAR-2022-0332,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OAR-2023-0292,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OW-2020-0276,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OW-2024-0158,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OW-2024-0158,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OW-2018-0056,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OAR-2024-0419,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OAR-2024-0419,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2020-0642,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OW-2023-0268,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OW-2023-0268,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OAR-2024-0419,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OW-2023-0268,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OW-2024-0481,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OW-2024-0481,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2023-0360,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2023-0360,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OAR-2024-0419,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OA-2024-0043,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OGC-2024-0391,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OA-2024-0043,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OLEM-2024-0307,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OGC-2024-0251,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OAR-2019-0392,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OAR-2019-0392,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OAR-2019-0392,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OW-2024-0357,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-R02-OAR-2024-0042,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OW-2024-0357,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OGC-2024-0531,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OLEM-2023-0573,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-R04-RCRA-2024-0451,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-R04-RCRA-2024-0451,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA_FRDOC_0001,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2024-0131,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-R04-RCRA-2024-0451,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPP-2024-0414,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPP-2024-0414,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA_FRDOC_0001,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-R04-OAR-2023-0361,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OAR-2003-0195,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPP-2024-0414,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPP-2013-0266,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2023-0376,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-R09-OAR-2024-0250,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2023-0376,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2023-0376,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2023-0376,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2024-0403,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2024-0403,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-R05-OAR-2024-0342,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2024-0403,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-R09-OAR-2024-0250,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2024-0403,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2024-0403,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2024-0403,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2024-0403,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-R09-OAR-2024-0250,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-R09-OAR-2024-0250,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2024-0403,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2024-0403,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-R09-OAR-2024-0250,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-R09-OAR-2024-0250,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-R09-OAR-2024-0250,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-R09-OAR-2024-0250,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPP-2024-0094,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-R09-OAR-2024-0301,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2024-0403,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2024-0403,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-R05-OAR-2024-0342,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-R09-OAR-2024-0250,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2023-0376,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2024-0403,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2024-0403,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2023-0376,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-R08-OAR-2024-0560,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2023-0376,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-R08-OAR-2024-0560,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2024-0403,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2024-0403,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-R09-OAR-2024-0250,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
2024-30930,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-30260,energy,housing-and-urban-development-department,120,0.3800,0.4600,0.5000,0.3200
2024-31207,energy,interior-department,120,0.3800,0.4600,0.5000,0.3200
2024-30740,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-30735,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-30751,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-30544,energy,health-and-human-services-department,120,0.3800,0.4600,0.5000,0.3200
2024-29466,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-30582,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-30534,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-30464,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-30413,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-30376,energy,interior-department,120,0.3800,0.4600,0.5000,0.3200
2024-30401,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-30245,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-30212,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-30027,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-29971,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-29639,energy,defense-department,120,0.3800,0.4600,0.5000,0.3200
2024-29377,energy,general-services-administration,120,0.3800,0.4600,0.5000,0.3200
2024-29916,energy,defense-department,120,0.3800,0.4600,0.5000,0.3200
2024-30246,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-29935,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-29595,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-29125,energy,interior-department,120,0.3800,0.4600,0.5000,0.3200
2024-29454,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-29525,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-29275,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-29238,energy,commerce-department,120,0.3800,0.4600,0.5000,0.3200
2024-28729,energy,interior-department,120,0.3800,0.4600,0.5000,0.3200
2024-28867,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-28352,energy,interior-department,120,0.3800,0.4600,0.5000,0.3200
2024-28316,energy,interior-department,120,0.3800,0.4600,0.5000,0.3200
2024-27872,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-28978,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-28855,energy,interior-department,120,0.3800,0.4600,0.5000,0.3200
2024-28712,energy,justice-department,120,0.3800,0.4600,0.5000,0.3200
2024-28711,energy,justice-department,120,0.3800,0.4600,0.5000,0.3200
2024-28930,energy,transportation-department,120,0.3800,0.4600,0.5000,0.3200
2024-28536,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-28351,energy,interior-department,120,0.3800,0.4600,0.5000,0.3200
2024-28873,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-28804,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-28332,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-27939,energy,health-and-human-services-department,120,0.3800,0.4600,0.5000,0.3200
2024-28805,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-28139,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-28079,energy,veterans-affairs-department,120,0.3800,0.4600,0.5000,0.3200
2024-27698,technology,federal-financial-institutions-examination-council,120,0.3800,0.4600,0.5000,0.3200
2024-28138,energy,veterans-affairs-department,120,0.3800,0.4600,0.5000,0.3200
2024-28097,energy,transportation-department,120,0.3800,0.4600,0.5000,0.3200
2024-27635,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-27373,energy,interior-department,120,0.3800,0.4600,0.5000,0.3200
2024-27912,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-27228,energy,agriculture-department,120,0.3800,0.4600,0.5000,0.3200
2024-27095,energy,interior-department,120,0.3800,0.4600,0.5000,0.3200
2024-26804,energy,health-and-human-services-department,120,0.3800,0.4600,0.5000,0.3200
2024-27914,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-27913,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-27767,energy,interior-department,120,0.3800,0.4600,0.5000,0.3200
2024-27518,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-27638,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-27571,energy,interior-department,120,0.3800,0.4600,0.5000,0.3200
2024-27594,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-27316,energy,interior-department,120,0.3800,0.4600,0.5000,0.3200
2024-27262,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-27517,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-27127,energy,interior-department,120,0.3800,0.4600,0.5000,0.3200
2024-27050,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-26395,energy,interior-department,120,0.3800,0.4600,0.5000,0.3200
2024-27115,energy,transportation-department,120,0.3800,0.4600,0.5000,0.3200
2024-26923,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-26776,energy,veterans-affairs-department,120,0.3800,0.4600,0.5000,0.3200
2024-25446,energy,consumer-product-safety-commission,120,0.3800,0.4600,0.5000,0.3200
2024-26894,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-26741,energy,transportation-department,120,0.3800,0.4600,0.5000,0.3200
2024-26481,energy,labor-department,120,0.3800,0.4600,0.5000,0.3200
2024-26423,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-26171,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-26069,energy,commerce-department,120,0.3800,0.4600,0.5000,0.3200
2024-25971,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-25764,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-25665,energy,veterans-affairs-department,120,0.3800,0.4600,0.5000,0.3200
2024-25947,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-25816,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-25751,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-25862,energy,education-department,120,0.3800,0.4600,0.5000,0.3200
2024-25762,energy,interior-department,120,0.3800,0.4600,0.5000,0.3200
2024-24704,energy,homeland-security-department,120,0.3800,0.4600,0.5000,0.3200
2024-23840,energy,veterans-affairs-department,120,0.3800,0.4600,0.5000,0.3200
2024-25656,procurement,general-services-administration,60,0.3800,0.4600,0.5000,0.3200
2024-25575,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-25457,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-25474,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-25452,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-25244,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-25067,energy,education-department,120,0.3800,0.4600,0.5000,0.3200
2024-23434,technology,nuclear-regulatory-commission,120,0.3800,0.4600,0.5000,0.3200
2024-25228,energy,environmental-protection-agency,120,0.3800,0.4600,0.5000,0.3200
2024-25120,energy,health-and-human-services-department,120,0.3800,0.4600,0.5000,0.3200
